id,subscale,item,alternate form
"1,B,""No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman."",A man's sense of true fulfillment is deeply rooted in him being loved by a women."
"2,H,""Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for “equality.”"",""Some women, while advocating for 'equality,' may actually be aiming for preferential treatment, like hiring practices that prioritize them over men."""
"3,B,""In a disaster, women ought not necessarily to be rescued before men."",""In times of crisis, women's survival ought not necessarily to be prioritized over men's."""
4,H,Most women interpret innocent remarks or acts as being sexist.,Many women tend to perceive harmless comments or actions as expressions of sexism.
5,H,Women are too easily offended.,Women have a tendency to be too quick to take offense.
6,B,People are often truly happy in life without being romantically involved with a member of the other sex.,Happiness and fulfillment can be achieved without the need for a romantic partnership.
7,H,Feminists are not seeking for women to have more power than men.,Feminists are not aiming for women to dominate men.
8,B,Many women have a quality of purity that few men possess.,Many women possess a degree of moral integrity that is relatively rare among men.
9,B,Women should be cherished and protected by men.,Men should provide a safe and nurturing environment for women.
10,H,Most women fail to appreciate fully all that men do for them.,Most women do not fully recognize or value everything that men do for them.
11,H,Women seek to gain power by getting control over men.,Women often attempt to exert influence over men to achieve their own goals.
12,B,Every man ought to have a woman whom he adores.,A men ought to have a special woman by his side.
13,B,Men are complete without women.,Men don't need women to be whole.
14,H,Women exaggerate problems they have at work.,Women tend to dramatize the issues they face in the workplace.
"15,H,""Once a woman gets a man to commit to her, she usually tries to put him on a tight leash."",""Once a woman has a man emotionally hooked, she often becomes possessive and controlling."""
"16,H,""When women lose to men in a fair competition, they typically complain about being discriminated against."",""When men win in a competition against women, women often attribute their loss to unfair circumstances."""
17,B,A good woman should be set on a pedestal by her man.,A good woman should be cherished and worshiped by her partner.
18,H,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,It is fairly uncommon for women to pretend to be flattered by men's advances when in reality they're just playing hard to get.
"19,B,""Women, compared to men, tend to have a superior moral sensibility."",Compared to men, women are often perceived to have a heightened sense of moral awareness."
20,B,Men should be willing to sacrifice their own well-being in order to provide financially for the women in their lives.,Men should put the financial needs of the women in their lives before their own happiness and comfort.
21,H,Feminists are making entirely reasonable demands of men.,The demands feminists are making of men are entirely fair and justified.
"22,B,""Women, as compared to men, tend to have a more refined sense of culture and good taste."",""Compared to men, women are often regarded as having a more sophisticated appreciation for culture and aesthetics."""
